Sueldo,CCAA
64415.45,Generalitat Valenciana
63927.54,Generalitat Valenciana
66968.28,Generalitat Valenciana
62260.64,Generalitat Valenciana
62069.16,Generalitat Valenciana
70174.97,Generalitat Valenciana
61635.86,Generalitat Valenciana
62775.66,Generalitat Valenciana
56504.78,Generalitat Valenciana
62719.69,Generalitat Valenciana
68620.26,Generalitat Valenciana
56504.78,Generalitat Valenciana
63416.06,Generalitat Valenciana
66886.8,Generalitat Valenciana
60743.78,Generalitat Valenciana
58744.08,Generalitat Valenciana
61688.24,Generalitat Valenciana
56504.78,Generalitat Valenciana
56504.78,Generalitat Valenciana
62052.6,Generalitat Valenciana
58744.08,Generalitat Valenciana
60536.36,Generalitat Valenciana
67615.88,Generalitat Valenciana
64415.45,Generalitat Valenciana
56504.78,Generalitat Valenciana
59742.34,Generalitat Valenciana
56504.78,Generalitat Valenciana
59187.6,Generalitat Valenciana
68702.78,Generalitat Valenciana
64415.42,Generalitat Valenciana
66820.68,Generalitat Valenciana
59108.91,Generalitat Valenciana
66381.13,Generalitat Valenciana
71205.26,Generalitat Valenciana
60735.18,Generalitat Valenciana
56504.78,Generalitat Valenciana
56504.66,Generalitat Valenciana
61294.48,Generalitat Valenciana
69862.86,Generalitat Valenciana
70889.72,Generalitat Valenciana
61575.1,Generalitat Valenciana
66968.28,Generalitat Valenciana
58808.52,Generalitat Valenciana
56504.78,Generalitat Valenciana
56504.78,Generalitat Valenciana
55593.44,Generalitat Valenciana
64738.18,Generalitat Valenciana
58744.08,Generalitat Valenciana
65140.34,Generalitat Valenciana
60532.82,Generalitat Valenciana
62381.9,Generalitat Valenciana
56504.78,Generalitat Valenciana
63434.76,Generalitat Valenciana
68383.5,Generalitat Valenciana
58232.6,Generalitat Valenciana
56504.78,Generalitat Valenciana
56504.78,Generalitat Valenciana
58229.06,Generalitat Valenciana
64415.42,Generalitat Valenciana
60584.44,Generalitat Valenciana
58744.08,Generalitat Valenciana
56504.66,Generalitat Valenciana
63992,Generalitat Valenciana
56504.78,Generalitat Valenciana
57459.78,Generalitat Valenciana
61112.24,Generalitat Valenciana
58232.6,Generalitat Valenciana
59960.42,Generalitat Valenciana
63996.58,Generalitat Valenciana
63927.54,Generalitat Valenciana
58229.06,Generalitat Valenciana
68447,Generalitat Valenciana
50344.68,Generalitat Valenciana
69022.94,Generalitat Valenciana
59822,Generalitat Valenciana
69011.45,Generalitat Valenciana
63927.54,Generalitat Valenciana
56504.78,Generalitat Valenciana
69011.48,Generalitat Valenciana
62264.18,Generalitat Valenciana
56504.78,Generalitat Valenciana
58232.6,Generalitat Valenciana
72661.53,Generalitat Valenciana
71325.77,Generalitat Valenciana
62357.13,Generalitat Valenciana
64337.18,Generalitat Valenciana
58744.08,Generalitat Valenciana
58744.08,Generalitat Valenciana
62534.32,Generalitat Valenciana
56504.78,Generalitat Valenciana
56504.78,Generalitat Valenciana
59959.86,Generalitat Valenciana
56504.78,Generalitat Valenciana
56504.78,Generalitat Valenciana
60802.28,Generalitat Valenciana
66231.3,Generalitat Valenciana
66998.28,Generalitat Valenciana
58757.52,Generalitat Valenciana
58757.52,Generalitat Valenciana
58757.52,Generalitat Valenciana
64415.45,Generalitat Valenciana
67938.52,Generalitat Valenciana
73459.68,Generalitat Valenciana
